id;fecha_publicacion;canal;formato;template;tema;audiencia;hook;cta;utm_campaign;utm_content;estado;vistas_3s;retencion_25;retencion_50;retencion_75;retencion_95;clicks_cta;mensajes_demo;registros;primera_cotizacion;aprendizaje;proxima_accion
V001;;;;OnboardingMobile;Primera cotizacion desde celular;Maestros y talleres;Deja de llegar a casa a hacer presupuestos;Crea tu primera cotizacion;;;;;;;;;;;;;;
V002;;;;OnboardingPcEnhancement;Constructor, lineas y pauta revisable en PC;Talleres que ya cotizan;Continua tu cotizacion en el computador sin repetir datos;Continua tu cotizacion en computador;;;;;;;;;;;;;;
W2609_V003;2026-09-09;Instagram;Reel;FeatureShort;Cotizacion fantasma enterrada en WhatsApp;Maestros e instaladores;Tu cliente no te dejo en visto. Tu cotizacion quedo enterrada.;Te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_v003;planificado;;;;;;;;;;;;;;
W2609_S001;2026-09-08;Instagram;Stories;FeatureShort;Donde quedan tus medidas;Maestros e instaladores;El problema no es tomar medidas. Es encontrarlas cuando toca cotizar.;Te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_s001;pausado;;;;;;;;;;;;;;
W2609_C001;2026-09-10;Instagram;Carrusel;FeatureShort;De chats a una cotizacion enviada;Maestros y talleres;La cotizacion quedo enterrada.;Te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_c001;planificado;;;;;;;;;;;;;;
W2609_P001;2026-09-11;Facebook;Post;FeatureShort;La rapidez comercial es tener la propuesta lista;Dueno de taller;La rapidez comercial no es responder cualquier precio.;Te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_p001;planificado;;;;;;;;;;;;;;
W2609_V004;2026-09-12;TikTok;Reel;OnboardingMobile;Reto cotizacion en terreno;Maestros e instaladores;Reto: arma y envia una cotizacion antes de irte de la obra.;Te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_v004;planificado;;;;;;;;;;;;;;
W2609_S002;2026-09-13;Instagram;Stories;FeatureShort;Ventora y software tecnico;Talleres que ya cotizan;Ventora es la capa comercial, no reemplaza tu software tecnico.;Te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_s002;pausado;;;;;;;;;;;;;;
w2609_d001;2026-09-21;Instagram;Carrusel;;Dolor presupuestos al llegar a casa;Maestros e instaladores;Sigues llegando a casa a hacer presupuestos;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d001;planificado;;;;;;;;;;;
w2609_d001;2026-09-21;Facebook;Carrusel;;Dolor presupuestos al llegar a casa;Maestros e instaladores;Sigues llegando a casa a hacer presupuestos;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d001;planificado;;;;;;;;;;;
w2609_d001;2026-09-21;TikTok;Fotos;;Dolor presupuestos al llegar a casa;Maestros e instaladores;Sigues llegando a casa a hacer presupuestos;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d001;planificado;;;;;;;;;;;
w2609_d002;2026-09-22;Instagram;Carrusel;;Tres demoras al cotizar;Maestros e instaladores;3 cosas que te hacen perder tiempo al cotizar;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d002;planificado;;;;;;;;;;;
w2609_d002;2026-09-22;Facebook;Carrusel;;Tres demoras al cotizar;Maestros e instaladores;3 cosas que te hacen perder tiempo al cotizar;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d002;planificado;;;;;;;;;;;
w2609_d002;2026-09-22;TikTok;Fotos;;Tres demoras al cotizar;Maestros e instaladores;3 cosas que te hacen perder tiempo al cotizar;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d002;planificado;;;;;;;;;;;
w2609_d003;2026-09-23;Instagram;Reel;OnboardingMobile;De medidas a PDF desde el celular;Maestros e instaladores;Asi paso de las medidas a una cotizacion lista para enviar;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d003;planificado;;;;;;;;;;;
w2609_d003;2026-09-23;Facebook;Reel;OnboardingMobile;De medidas a PDF desde el celular;Maestros e instaladores;Asi paso de las medidas a una cotizacion lista para enviar;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d003;planificado;;;;;;;;;;;
w2609_d003;2026-09-23;TikTok;Reel;OnboardingMobile;De medidas a PDF desde el celular;Maestros e instaladores;Asi paso de las medidas a una cotizacion lista para enviar;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d003;planificado;;;;;;;;;;;
w2609_d004;2026-09-24;Instagram;Carrusel;;Lineas y precios del taller;Dueno de taller;Tus precios, tus reglas;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d004;planificado;;;;;;;;;;;
w2609_d004;2026-09-24;Facebook;Carrusel;;Lineas y precios del taller;Dueno de taller;Tus precios, tus reglas;Escribeme DEMO y te muestro una cotizacion real;cotiza_en_terreno_2026_09;w2609_d004;planificado;;;;;;;;;;;
